model_id,seq_len,accuracy
openai-community/gpt2,14,0.209677
deepseek-ai/deepseek-coder-1.3b-instruct,14,0.387097
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,14,0.241935
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,0.395161
tiiuae/Falcon3-7B-Instruct,14,0.354839
Qwen/Qwen2.5-7B-Instruct,14,0.379032
deepseek-ai/deepseek-coder-7b-instruct-v1.5,14,0.233871
NTQAI/Nxcode-CQ-7B-orpo,14,0.379032
Qwen/CodeQwen1.5-7B-Chat,14,0.370968
Qwen/Qwen2.5-Coder-7B-Instruct,14,0.346774
google/gemma-2-9b-it,14,0.395161
Qwen/Qwen2.5-14B-Instruct,14,0.290323
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,14,0.395161
Qwen/Qwen2.5-Coder-14B-Instruct,14,0.419355
Qwen/Qwen2.5-14B,14,0.467742
allenai/OLMo-2-1124-7B-Instruct,14,0.153226
allenai/OLMo-2-1124-13B-Instruct,14,0.306452
openai/gpt-4o,14,0.280000
