model_id,accuracy
openai-community/gpt2,0.241935
deepseek-ai/deepseek-coder-1.3b-instruct,0.532258
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0.233871
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0.435484
tiiuae/Falcon3-7B-Instruct,0.532258
Qwen/Qwen2.5-7B-Instruct,0.370968
deepseek-ai/deepseek-coder-7b-instruct-v1.5,0.370968
NTQAI/Nxcode-CQ-7B-orpo,0.548387
Qwen/CodeQwen1.5-7B-Chat,0.427419
Qwen/Qwen2.5-Coder-7B-Instruct,0.467742
google/gemma-2-9b-it,0.403226
Qwen/Qwen2.5-14B-Instruct,0.362903
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0.524194
Qwen/Qwen2.5-Coder-14B-Instruct,0.524194
Qwen/Qwen2.5-14B,0.588710
