model_id,seq_len,accuracy
openai-community/gpt2,4,0.209677
deepseek-ai/deepseek-coder-1.3b-instruct,4,0.451613
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,4,0.233871
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,4,0.483871
tiiuae/Falcon3-7B-Instruct,4,0.588710
Qwen/Qwen2.5-7B-Instruct,4,0.419355
deepseek-ai/deepseek-coder-7b-instruct-v1.5,4,0.379032
NTQAI/Nxcode-CQ-7B-orpo,4,0.516129
Qwen/CodeQwen1.5-7B-Chat,4,0.556452
Qwen/Qwen2.5-Coder-7B-Instruct,4,0.467742
google/gemma-2-9b-it,4,0.540323
Qwen/Qwen2.5-14B-Instruct,4,0.395161
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,4,0.500000
Qwen/Qwen2.5-Coder-14B-Instruct,4,0.548387
Qwen/Qwen2.5-14B,4,0.645161
allenai/OLMo-2-1124-7B-Instruct,4,0.322581
allenai/OLMo-2-1124-13B-Instruct,4,0.370968
